key,en,fr,nl,de,es,ar,zh,hi,ja,ru,uk
auto.dataPoints.warmSurfaceWaterFlowsNorthwardFromThe,"Warm surface water flows northward from the tropics, carrying heat toward the Arctic and moderating European climate.","L'eau de surface chaude s'écoule vers le nord depuis les tropiques, transportant la chaleur vers l'Arctique et modérant le climat européen.",,,,,,,,,
auto.dataPoints.warmWaterCoolsAndSinksInThe,"Warm water cools and sinks in the North Atlantic, driving the deep circulation through density-driven convection.","L'eau chaude refroidit et plonge dans l'Atlantique Nord, entraînant la circulation profonde par convection liée à la densité.",,,,,,,,,
auto.dataPoints.zurichRegionTracksHydrogenRefuelingForHeavy,Zurich Region Tracks Hydrogen Refueling for Heavy Transport,La région de Zurich suit le ravitaillement en hydrogène pour le transport lourd,,,,,,,,,
auto.dataResearch.analyzeDifferentPerspectivesOnTheTopic,Analyze different perspectives on the topic,Analyser différents points de vue sur le sujet,,,,,,,,,
auto.dataResearch.apNews,AP News,AP News,,,,,,,,,
auto.dataResearch.bbc,BBC,BBC,,,,,,,,,
auto.dataResearch.buildResearchBrief,Build Research Brief,Créer un brief de recherche,,,,,,,,,
auto.dataResearch.createAComprehensiveResearchSummary,Create a comprehensive research summary,Créer un résumé de recherche complet,,,,,,,,,
auto.dataResearch.createPostDraft,Create Post Draft,Créer un brouillon de publication,,,,,,,,,
auto.dataResearch.europeanCommission,European Commission,Commission européenne,,,,,,,,,
auto.dataResearch.europeanParliament,European Parliament,Parlement européen,,,,,,,,,
auto.dataResearch.findRelatedResearchDirections,Find related research directions,Trouver des pistes de recherche liées,,,,,,,,,
auto.dataResearch.generateASocialMediaPostBasedOn,Generate a social media post based on research,Générer une publication réseaux sociaux à partir de la recherche,,,,,,,,,
auto.dataResearch.nationalAgencies,National Agencies,Agences nationales,,,,,,,,,
auto.dataResearch.researchJournals,Research Journals,Revues de recherche,,,,,,,,,
auto.dataResearch.suggestAngles,Suggest Angles,Suggérer des angles,,,,,,,,,
auto.index.initializingGlobe,Initializing Globe...,Initialisation du globe...,,,,,,,,,
auto.index.liveDataStream,Live Data Stream,Flux de données en direct,,,,,,,,,
auto.index.topicEarthGlobalIntelligenceDashboard,topic.earth - Global Intelligence Dashboard,topic.earth - Tableau de bord d'intelligence globale,,,,,,,,,
auto.index.updateDailyNews,Update Daily News,Mettre à jour les actualités quotidiennes,,,,,,,,,
auto.libFeverDebug.valueThresholdCrossed,{value} threshold crossed,Seuil {value} franchi,,,,,,,,,
auto.libGlobe.aCelestialBodyInOurSolarSystem,A celestial body in our solar system,Un corps céleste dans notre système solaire,,,,,,,,,
auto.libGlobe.anIceGiantTiltedOnItsSide,An ice giant tilted on its side at 98 degrees,Une géante de glace inclinée sur le côté à 98 degrés,,,,,,,,,
auto.libGlobe.atlas31RecentlyDiscoveredNearEarthAsteroidUnder,Atlas31 - Recently discovered near-Earth asteroid under close observation by planetary defense systems,Atlas31 - Astéroïde géocroiseur récemment découvert sous surveillance rapprochée par les systèmes de défense planétaire,,,,,,,,,
auto.libGlobe.atlas32CompanionAsteroidInSimilarOrbitalPath,Atlas32 - Companion asteroid in similar orbital path,Atlas32 - Astéroïde compagnon sur une trajectoire orbitale similaire,,,,,,,,,
auto.libGlobe.clickToViewDetails,Click to view details,Cliquer pour voir les détails,,,,,,,,,
auto.libGlobe.earthSOnlyNaturalSatellite,Earth's only natural satellite,Le seul satellite naturel de la Terre,,,,,,,,,
auto.libGlobe.eventsIn,events in,événements dans,,,,,,,,,
auto.libGlobe.loadingGlobe,Loading Globe...,Chargement du globe...,,,,,,,,,
auto.libGlobe.ourHomePlanetTheOnlyKnownWorld,"Our home planet, the only known world with life","Notre planète d'origine, le seul monde connu avec de la vie",,,,,,,,,
auto.libGlobe.spacexStarshipNextGenerationFullyReusableLaunch,"SpaceX Starship - Next-generation fully reusable launch vehicle designed for missions to Moon, Mars and beyond","SpaceX Starship - Lanceur de nouvelle génération entièrement réutilisable conçu pour des missions vers la Lune, Mars et au-delà",,,,,,,,,
auto.libGlobe.theHottestPlanetWithAToxicAtmosphere,The hottest planet with a toxic atmosphere,"La planète la plus chaude, avec une atmosphère toxique",,,,,,,,,
auto.libGlobe.theLargestPlanetAMassiveGasGiant,"The largest planet, a massive gas giant","La plus grande planète, une géante gazeuse massive",,,,,,,,,
auto.libGlobe.theMostDistantPlanetWithTheFastest,The most distant planet with the fastest winds,"La planète la plus lointaine, avec les vents les plus rapides",,,,,,,,,
auto.libGlobe.theRedPlanetTargetOfFutureHuman,"The red planet, target of future human missions","La planète rouge, cible de futures missions humaines",,,,,,,,,
auto.libGlobe.theRingedPlanetFamousForItsIce,"The ringed planet, famous for its ice rings","La planète aux anneaux, célèbre pour ses anneaux de glace",,,,,,,,,
auto.libGlobe.theSmallestPlanetAndClosestToThe,The smallest planet and closest to the Sun,La plus petite planète et la plus proche du Soleil,,,,,,,,,
auto.libGlobe.theStarAtTheCenterOfOur,The star at the center of our solar system,L'étoile au centre de notre système solaire,,,,,,,,,
auto.libGlobe.theValuePlanetaryBoundaryHasReachedIts,The {value} planetary boundary has reached its tipping threshold under the {value} scenario.,La limite planétaire {value} à atteint son seuil de bascule dans le scénario {value}.,,,,,,,,,
auto.libGlobe.value,# {value},# {value},,,,,,,,,
auto.libGlobe.valueEventsInValueClickToView,{value} events in {value} Click to view details,{value} événements dans {value} Cliquer pour voir les détails,,,,,,,,,
auto.libMeteoRealtime.cloudCover,Cloud cover:,Couverture nuageuse :,,,,,,,,,
auto.libMeteoRealtime.humidity,Humidity:,Humidité :,,,,,,,,,
auto.libMeteoRealtime.kmHFromDeg,km/h from deg,km/h depuis deg,,,,,,,,,
auto.libMeteoRealtime.newYork,New York,New York,,,,,,,,,
auto.libMeteoRealtime.precipitation,Precipitation:,Précipitations :,,,,,,,,,
auto.libMeteoRealtime.saoPaulo,Sao Paulo,São Paulo,,,,,,,,,
auto.libMeteoRealtime.temperatureValueCloudCoverValueHumidityValue,Temperature: {value} Cloud cover: {value} Humidity: {value} Wind: {value} km/h from {value} deg Precipitation: {value} mm Updated: {value},Température : {value} Couverture nuageuse : {value} Humidité : {value} Vent : {value} km/h depuis {value} deg Précipitations : {value} mm Mis à jour : {value},,,,,,,,,
auto.libMeteoRealtime.updated,Updated:,Mis à jour :,,,,,,,,,
auto.libMeteoRealtime.valueForValueValueValueCloudCover,"{value} for {value} : {value} , {value} cloud cover, {value} km/h wind, {value} mm precipitation.","{value} pour {value} : {value}, {value} couverture nuageuse, {value} km/h vent, {value} mm précipitations.",,,,,,,,,
auto.libMeteoRealtime.valueValueValueClouds,"{value} : {value} , {value} clouds","{value} : {value}, {value} nuages",,,,,,,,,
auto.libMeteoRealtime.wind,Wind:,Vent :,,,,,,,,,
common.admin,Admin,Admin,,,,,,,,,
common.cancel,Cancel,Annuler,Annuleren,Abbrechen,Cancelar,,,,,,
common.close,Close,Fermer,Sluiten,Schliessen,Cerrar,,,,,,
common.lastSync,Last sync,Derniere synchro,,,,,,,,,
common.linked,Linked,Lié,,,,,,,,,
common.notLinked,Not linked,Non lié,,,,,,,,,
common.readAloud,Read,Lire,Voorlezen,Vorlesen,Leer,,,,,,
common.resetToDefaults,Reset to Defaults,Réinitialiser,Terug naar standaard,Zuruecksetzen,Restablecer,,,,,,
common.save,Save,Enregistrer,Opslaan,Speichern,Guardar,,,,,,
common.saveSettings,Save Settings,Enregistrer les paramètres,Instellingen opslaan,Einstellungen speichern,Guardar configuracion,,,,,,
common.settings,Settings,Paramètres,Instellingen,Einstellungen,Configuracion,,,,,,
common.stop,Stop,Stop,Stop,Stopp,Detener,,,,,,
common.user,User,Utilisateur,,,,,,,,,
fever.activeTopics,Active Topics,Sujets actifs,,,,,,,,,
fever.activeWarnings,Active Warnings,Alertes actives,,,,,,,,,
fever.amocIntro,"AMOC is Earth's ocean conveyor belt: warm water flows north, cools, sinks, and returns south deep underwater.","L AMOC est le tapis roulant oceanique de la Terre: l eau chaude monte au nord, refroidit, plonge puis repart au sud en profondeur.",,,,,,,,,
fever.amocLoading,AMOC data loading...,Chargement des données AMOC...,,,,,,,,,
fever.amocStrong,Strong (above 80%),Fort (plus de 80%),,,,,,,,,
fever.amocStrongText,Ocean conveyor belt works normally; climates stay stable.,Le tapis roulant oceanique fonctionne normalement; les climats restent stables.,,,,,,,,,
fever.amocWarning,AMOC circulation is significantly weakened. Risk of abrupt climate shift in the North Atlantic region.,La circulation AMOC est fortement affaiblie. Risque de bascule climatique abrupte en Atlantique Nord.,,,,,,,,,
fever.amocWatch,AMOC Watch,Veille AMOC,,,,,,,,,
fever.amocWatchOverlay,AMOC Watch Overlay,Overlay veille AMOC,,,,,,,,,
fever.amocWeak,Weak (below 50%),Faible (moins de 50%),,,,,,,,,
fever.amocWeakening,Weakening (50-80%),Affaiblissement (50-80%),,,,,,,,,
fever.amocWeakeningText,Europe may get colder winters while tropics get hotter.,L Europe peut avoir des hivers plus froids pendant que les tropiques chauffent.,,,,,,,,,
fever.amocWeakText,"Major climate disruption likely, with severe cooling in Europe and faster sea level rise on the US East Coast.","Risque majeur de perturbation climatique, avec refroidissement severe en Europe et montee plus rapide du niveau marin.",,,,,,,,,
fever.analysis,Analysis,Analyse,,,,,,,,,
fever.best,Best,Meilleur,,,,,,,,,
fever.bestExplained,What happens if we act fast and work together globally.,Ce qui arrive si nous agissons vite et ensemble.,,,,,,,,,
fever.betweenMilestoneAndNext,Between {year} and next,Entre {year} et la suite,,,,,,,,,
fever.boundaryIntro,"This planetary boundary is a critical threshold. Once crossed, the system can shift to a new state that is hard to reverse.","Cette limite planetaire est un seuil critique. Une fois franchi, le systeme peut basculer vers un etat difficile à inverser.",,,,,,,,,
fever.circulationStrength,Circulation Strength,Force de circulation,,,,,,,,,
fever.climateDataForScenario,Climate data for {year} - {scenario} scenario,Donnees climatiques pour {year} - scenario {scenario},,,,,,,,,
fever.clearHistory,Clear History,Effacer historique,,,,,,,,,
fever.clearHistoryConfirm,Clear all fever warning history?,Effacer tout l'historique des alertes Fièvre ?,,,,,,,,,
fever.climateBaseline,Climate Baseline,Reference climatique,,,,,,,,,
fever.climateImpactTrends,Climate Impact Trends,Tendances impacts climat,,,,,,,,,
fever.coldBranch,Cold Branch,Branche froide,,,,,,,,,
fever.color,Color,Couleur,,,,,,,,,
fever.coloredRingStatus,Monitor the colored ring on the globe to see the current state.,Surveillez l anneau colore sur le globe pour voir l etat actuel.,,,,,,,,,
fever.connectionAmoc,AMOC weakening -> Changed ocean heat -> Tipping point stress,AMOC affaiblie -> chaleur oceanique modifiee -> stress de bascule,,,,,,,,,
fever.connectionForest,Forest loss -> Less carbon storage -> Faster warming -> More forest stress,Perte de forets -> moins de stockage carbone -> réchauffement plus rapide -> plus de stress forestier,,,,,,,,,
fever.connectionTipping,Tipping points crossed -> New climate state -> More warming,Points de bascule franchis -> nouvel etat climatique -> plus de réchauffement,,,,,,,,,
fever.connectionWarming,Warming -> Ice melt -> AMOC weakening -> Regional climate shifts,Réchauffement -> fonte des glaces -> AMOC affaiblie -> bascules régionales,,,,,,,,,
fever.currentEraBaseline,Current Era Baseline,Reference de l ere actuelle,,,,,,,,,
fever.currentState,Current State,Etat actuel,,,,,,,,,
fever.currentYear,Current Year,Année actuelle,,,,,,,,,
fever.debugLogs,Debug Logs,Logs debug,,,,,,,,,
fever.dualPreview,Dual Preview,Double apercu,,,,,,,,,
fever.earthsFever,Earth's Fever,Fièvre de la Terre,,,,,,,,,
fever.everythingConnected,Everything is connected.,Tout est connecte.,,,,,,,,,
fever.feedbackLoop,"When Earth warms, ice melts; weakened AMOC changes rainfall; stressed forests release carbon; released carbon warms Earth more.","Quand la Terre chauffe, la glace fond; l AMOC faiblit; les pluies changent; les forets stressees relachent du carbone.",,,,,,,,,
fever.forwardMode,Forward,Avant,,,,,,,,,
fever.heartbeatMonitor,Earth's Heartbeat Monitor,Moniteur cardiaque de la Terre,,,,,,,,,
fever.high,High,Haut,,,,,,,,,
fever.highExplained,What could happen if we do not change trajectory soon.,Ce qui peut arriver si la trajectoire ne change pas vite.,,,,,,,,,
fever.iceSheetDataset,Ice Sheet (%),Calotte glaciaire (%),,,,,,,,,
fever.index,Index,Index,,,,,,,,,
fever.industrialBaseline,Industrial era climate baseline,Reference climatique de l ere industrielle,,,,,,,,,
fever.inspector,Inspector,Inspecteur,,,,,,,,,
fever.interactions,Interactions,Interactions,,,,,,,,,
fever.interpolation,Interpolation,Interpolation,,,,,,,,,
fever.jumpLog,Jumped to year {year},Saut vers {year},,,,,,,,,
fever.keyConnections,Key connections,Connexions cles,,,,,,,,,
fever.latestResearch,Latest Research,Derniere recherche,,,,,,,,,
fever.loading,Loading...,Chargement...,,,,,,,,,
fever.loadingTippingDiagnostics,Loading tipping diagnostics...,Chargement diagnostics de bascule...,,,,,,,,,
fever.logs,Logs,Logs,,,,,,,,,
fever.milestone,Milestone,Jalon,,,,,,,,,
fever.mode,Mode,Mode,,,,,,,,,
fever.monitoringChart,"The chart tracks temperature rising, ice sheets shrinking, and sea level increasing together.","Le graphique suit ensemble la temperature, la fonte des glaces et la hausse du niveau marin.",,,,,,,,,
fever.monitoringIntro,"Earth's Fever shows how our planet is warming over time, like checking Earth's temperature with a thermometer.",La Fièvre de la Terre montre le réchauffement de la planète comme un thermomètre climatique.,,,,,,,,,
fever.no,No,Non,,,,,,,,,
fever.northAtlanticSink,North Atlantic Sink,Puits Atlantique Nord,,,,,,,,,
fever.noWarningsRecorded,No warnings recorded yet. Run Earth's Fever simulation to generate warnings.,Aucune alerte enregistrée. Lancez la simulation Fièvre de la Terre pour générer des alertes.,,,,,,,,,
fever.objective,Objective,Objectif,,,,,,,,,
fever.objectiveExplained,The most likely path based on current worldwide action.,Le chemin le plus probable selon les actions actuelles.,,,,,,,,,
fever.ok,OK,OK,,,,,,,,,
fever.paused,Paused,En pause,,,,,,,,,
fever.pausedMode,Paused,Pause,,,,,,,,,
fever.pauseLog,Toggled pause,Pause basculee,,,,,,,,,
fever.pauseResume,Pause/Resume,Pause/Reprendre,,,,,,,,,
fever.playTts,Play TTS,Lire TTS,,,,,,,,,
fever.progress,Progress,Progression,,,,,,,,,
fever.reverse,Reverse,Retour,,,,,,,,,
fever.reversed,Reversed,Inverse,,,,,,,,,
fever.reverseLog,Toggled reverse mode,Mode retour bascule,,,,,,,,,
fever.reverseMode,Reverse,Retour,,,,,,,,,
fever.riskCritical,Critical,Critique,,,,,,,,,
fever.riskHigh,High risk,Risque eleve,,,,,,,,,
fever.riskLevel,Risk Level,Niveau de risque,,,,,,,,,
fever.riskModerate,Moderate risk,Risque modere,,,,,,,,,
fever.riskNormal,Normal,Normal,,,,,,,,,
fever.runtime,Runtime,Runtime,,,,,,,,,
fever.runtimeControls,Runtime Controls,Contrôles runtime,,,,,,,,,
fever.scenario,Scenario,Scenario,,,,,,,,,
fever.scenarioLabel,Scenario:,Scenario :,,,,,,,,,
fever.scenarioLog,Changed scenario to {scenario},Scenario change vers {scenario},,,,,,,,,
fever.scenariosExplained,Scenarios explained,Scenarios expliques,,,,,,,,,
fever.seaLevelDataset,Sea Level (cm),Niveau de mer (cm),,,,,,,,,
fever.segmentsShort,Segs,Segs,,,,,,,,,
fever.selectTab,Select a tab to view content.,Selectionnez un onglet pour voir le contenu.,,,,,,,,,
fever.simulationPaused,Simulation paused,Simulation en pause,,,,,,,,,
fever.sound,Sound,Son,,,,,,,,,
fever.southernReturn,Southern Return,Retour sud,,,,,,,,,
fever.speedLabel,Speed:,Vitesse :,,,,,,,,,
fever.status,Status,Statut,,,,,,,,,
fever.sync,Sync,Synchro,,,,,,,,,
fever.synced,Synced,Synchronise,,,,,,,,,
fever.temperatureDataset,Temperature (deg C),Temperature (deg C),,,,,,,,,
fever.temperatureDelta,Temperature Delta,Delta temperature,,,,,,,,,
fever.texture,Fever Texture,Texture Fièvre,,,,,,,,,
fever.timelineLabel,175-Year Simulation (1950-2125),Simulation 175 ans (1950-2125),,,,,,,,,
fever.tippingBoundariesRealtime,Tipping Boundaries (Real-time),Limites de bascule (temps reel),,,,,,,,,
fever.tippingIntro,Tipping points are thresholds where Earth's systems can suddenly shift to a new state.,Les points de bascule sont des seuils ou les systemes terrestres peuvent changer brutalement d etat.,,,,,,,,,
fever.tippingOverlay,Tipping Points Overlay,Overlay points de bascule,,,,,,,,,
fever.tippingPoints,Tipping Points,Points de bascule,,,,,,,,,
fever.tippingRingLegend,"The colored ring shows how close we are to each tipping point: green/cyan safe, yellow caution, orange danger, red threshold crossed.","L anneau colore indique la proximite des seuils: vert/cyan sur, jaune prudence, orange danger, rouge seuil franchi.",,,,,,,,,
fever.tippingWhy,Each tipping point is a natural system that can flip from one stable state to another and trigger others.,Chaque point de bascule peut passer d un etat stable à un autre et declencher les autres.,,,,,,,,,
fever.topics,Topics,Sujets,,,,,,,,,
fever.triggered,Triggered,Declenche,,,,,,,,,
fever.updated,Updated,Mis à jour,,,,,,,,,
fever.viewDetail,View Detail,Voir detail,,,,,,,,,
fever.viewWarningHistory,View warning history,Voir l'historique des alertes,,,,,,,,,
fever.visible,Visible,Visible,,,,,,,,,
fever.voice,Voice,Voix,,,,,,,,,
fever.warmBranchHeat,Warm Branch Heat,Chaleur branche chaude,,,,,,,,,
fever.warning,Warning,Alerte,,,,,,,,,
fever.warningHistory,Earth's Fever Warning History,Historique des alertes Fièvre de la Terre,,,,,,,,,
fever.warnings,Warnings,Alertes,,,,,,,,,
fever.warningsRecorded,{count} warnings recorded,{count} alertes enregistrées,,,,,,,,,
fever.watchTogether,This is why we watch all these systems together. A change in one affects all the others.,Voila pourquoi nous surveillons ces systemes ensemble. Un changement dans l un affecte les autres.,,,,,,,,,
fever.whatThisMeans,What this means,Ce que cela signifie,,,,,,,,,
fever.whyItMatters,Why it matters,Pourquoi c est important,,,,,,,,,
fever.year,Year,Année,,,,,,,,,
fever.yes,Yes,Oui,,,,,,,,,
layer.newLayer,Layer,Couche,,,,,,,,,
layer.newTopic,Topic,Sujet,,,,,,,,,
layer.removeBrowserTopic,Remove this browser topic,Supprimer ce sujet navigateur,,,,,,,,,
layer.removeNamed,Remove {name},Supprimer {name},,,,,,,,,
layer.researchTopic,Research this topic,Rechercher ce sujet,,,,,,,,,
manual.componentsDetailpanel.amocSouthReturn,AMOC South Return,Retour sud AMOC,,,,,,,,,
manual.componentsDetailpanel.evidenceMedia,Evidence & Media,Preuves et médias,,,,,,,,,
manual.componentsDetailpanel.forDeeperLocalExploration,"For deeper local exploration, this view will transition to a Google Maps detail mode showing individual event locations, boundaries, and street-level context.","Pour une exploration locale plus approfondie, cette vue passera à un mode de détail Google Maps affichant les lieux d'événements individuels, les limites et le contexte au niveau de la rue.",,,,,,,,,
manual.componentsDetailpanel.latestUpdates,Latest Updates,Dernières mises à jour,,,,,,,,,
manual.componentsDetailpanel.noEvidenceAddedYet,"No evidence added yet. Add a link, note, or ask for source suggestions.","Aucune preuve ajoutée pour l'instant. Ajoutez un lien, une note ou demandez des suggestions de sources.",,,,,,,,,
manual.componentsDetailpanel.physicalProperties,Physical Properties,Propriétés physiques,,,,,,,,,
manual.componentsDetailpanel.regionalFocus,Regional focus:,Focus régional :,,,,,,,,,
manual.componentsDetailpanel.savedLocalProposal,"Saved locally on this device. You can refine, research, or remove this proposal anytime before any later admin review.","Enregistré localement sur cet appareil. Vous pouvez affiner, rechercher ou supprimer cette proposition à tout moment avant une éventuelle revue admin ultérieure.",,,,,,,,,
manual.componentsDetailpanel.submitDownloadsZip,Submit downloads this topic as a ZIP for admin review.,Soumettre télécharge ce sujet comme ZIP pour revue admin.,,,,,,,,,
manual.componentsDetailpanel.submitZip,Submit ZIP,Soumettre le ZIP,,,,,,,,,
manual.componentsDetailpanel.userReadOnlyPublishedPosts,"User mode is read-only for published posts. Use AI search, then save any proposal as a browser draft.","Le mode utilisateur est en lecture seule pour les publications publiées. Utilisez la recherche IA, puis enregistrez toute proposition comme brouillon navigateur.",,,,,,,,,
manual.componentsDetailpanel.whatShouldHelpLookFor,What should help look for?,Que doit chercher l'aide ?,,,,,,,,,
manual.componentsDetailpanel.youtubeOrArticleUrl,https://youtube.com/watch?v=... or article URL,https://youtube.com/watch?v=... ou URL d'article,,,,,,,,,
manual.dataPoints.globalWarmingThreshold,"Global warming threshold monitoring and climate system stability assessment across best-case, objective, and high-risk scenarios.","Surveillance du seuil de réchauffement global et évaluation de la stabilité du système climatique selon des scénarios meilleur cas, objectif et haut risque.",,,,,,,,,
map.search,Map search,Recherche carte,Kaart zoeken,Kartensuche,Buscar mapa,,,,,,
map.searchPlaceholder,Search address or place,Chercher une adresse ou un lieu,Zoek adres of plaats,Adresse oder Ort suchen,Buscar direccion o lugar,,,,,,
nav.fever,Fever,Fièvre,,,,,,,,,
nav.feverTitle,Earth's Fever,Fièvre de la Terre,,,,,,,,,
nav.interaction,Interaction,Interaction,,,,,,,,,
nav.main,Main,Principal,,,,,,,,,
nav.mainTitle,Main layers,Couches principales,,,,,,,,,
nav.regional,Regional,Régional,,,,,,,,,
nav.regionalTitle,Regional 2D map,Carte régionale 2D,,,,,,,,,
nav.rotate,Rotate,Rotation,,,,,,,,,
nav.drag,Drag,Deplacer,,,,,,,,,
detail.collapseShort,Short view,Vue courte,,,,,,,,,
detail.expandFull,Full view,Vue complete,,,,,,,,,
detail.expandTop,Top view,Vue haute,,,,,,,,,
detail.restoreMiddle,Middle view,Vue moyenne,,,,,,,,,
regional.toolDrag,Drag map,Deplacer carte,,,,,,,,,
regional.toolAddPoint,Add point,Ajouter un point,,,,,,,,,
regional.toolTracePath,Trace path,Tracer chemin,,,,,,,,,
regional.toolFinishPath,Finish path,Terminer chemin,,,,,,,,,
regional.toolClearPath,Clear,Effacer,,,,,,,,,
regional.dragStatus,Drag the map to explore.,Deplacez la carte pour explorer.,,,,,,,,,
regional.pointStatus,Tap the map to add a point.,Touchez la carte pour ajouter un point.,,,,,,,,,
regional.pathStarted,Tap the map to trace a path.,Touchez la carte pour tracer un chemin.,,,,,,,,,
regional.pathPointAdded,{count} path point(s).,{count} point(s) de chemin.,,,,,,,,,
regional.pathFinished,Path highlighted with {count} points.,Chemin surligne avec {count} points.,,,,,,,,,
regional.pathNeedTwo,Add at least 2 points for a path.,Ajoutez au moins 2 points pour un chemin.,,,,,,,,,
regional.pathCleared,Path cleared.,Chemin efface.,,,,,,,,,
regional.pointReady,"Point ready at {lat}, {lon}.","Point pret a {lat}, {lon}.",,,,,,,,,
regional.newPoint,New map point,Nouveau point carte,,,,,,,,,
regional.proposeHere,Propose here,Proposer ici,,,,,,,,,
regional.toolsLabel,Regional map tools,Outils carte regionale,,,,,,,,,
regional.collapseTools,Collapse map tools,Replier les outils carte,,,,,,,,,
regional.expandTools,Expand map tools,Afficher les outils carte,,,,,,,,,
regional.toolRoute,Route,Itineraire,,,,,,,,,
regional.toolUndo,Undo,Annuler,,,,,,,,,
regional.toolRedo,Redo,Retablir,,,,,,,,,
regional.toolClearRoute,Clear route,Effacer l'itineraire,,,,,,,,,
regional.pointCleared,Point cleared.,Point efface.,,,,,,,,,
regional.pathPointRemoved,{count} path point(s) left.,{count} point(s) de chemin restant(s).,,,,,,,,,
regional.actionUndone,Action undone.,Action annulee.,,,,,,,,,
regional.noUndo,Nothing to undo.,Rien a annuler.,,,,,,,,,
regional.noRedo,Nothing to redo.,Rien a retablir.,,,,,,,,,
regional.routeOptions,Route options,Options d'itineraire,,,,,,,,,
regional.routeProfile,Mode,Mode,,,,,,,,,
regional.routeBike,Bike,Velo,,,,,,,,,
regional.routeWalk,Walk,Marche,,,,,,,,,
regional.routeRoad,Road,Route,,,,,,,,,
regional.routePreference,Choice,Choix,,,,,,,,,
regional.routeShortest,Shorter,Plus court,,,,,,,,,
regional.routeFastest,Faster,Plus rapide,,,,,,,,,
regional.routeHint,"Choose route, click a start point, then a destination.","Choisissez Itineraire, cliquez le depart puis la destination.",,,,,,,,,
regional.routePickStart,Click the start point for the route.,Cliquez le point de depart de l'itineraire.,,,,,,,,,
regional.routePickEnd,Click the destination point for the route.,Cliquez la destination de l'itineraire.,,,,,,,,,
regional.routeStart,Start,Depart,,,,,,,,,
regional.routeEnd,Destination,Destination,,,,,,,,,
regional.routeFetching,Finding a route on OpenStreetMap...,Recherche d'un itineraire OpenStreetMap...,,,,,,,,,
regional.routeReady,"Route ready: {distance} km, about {duration} min by {mode}.","Itineraire pret : {distance} km, environ {duration} min en {mode}.",,,,,,,,,
regional.routeFallback,Routing service unavailable; direct guide line shown.,Service d'itineraire indisponible; ligne directe affichee.,,,,,,,,,
regional.routeCleared,Route cleared.,Itineraire efface.,,,,,,,,,
nav.sourceSearchTitle,Source search / new topic,Recherche source / nouveau sujet,,,,,,,,,
nav.space,Space,Espace,,,,,,,,,
nav.spaceTitle,Space,Espace,,,,,,,,,
nav.toggleAdminMode,Toggle admin mode,Basculer le mode admin,,,,,,,,,
settings.adminReviewPackage,Admin Review Package,Package de revue admin,,,,,,,,,
settings.aiApiHint,"The API settings widget saves provider choices and keys in this browser, then the app bridge uses those settings for AI-assisted web search and update flows.",Le widget API enregistre les fournisseurs et cles dans ce navigateur; le bridge les utilise pour la recherche web IA et les mises à jour.,,,,,,,,,
settings.aiApiSettings,AI API Settings,Paramètres API IA,,,,,,,,,
settings.aiAssistedSearchUpdate,AI-assisted search/update,Recherche/mise à jour assistee par IA,,,,,,,,,
settings.aiImage,Image,Image,,,,,,,,,
settings.aiMode,Mode,Mode,,,,,,,,,
settings.aiText,Text,Texte,,,,,,,,,
settings.aiVoice,AI Voice,Voix IA,AI-stem,KI-Stimme,Voz IA,,,,,,
settings.aiVoiceSoon,High-quality AI voice synthesis will be available in a future update.,Une synthese vocale IA de haute qualité arrivera plus tard.,AI-spraaksynthese van hoge kwaliteit komt later beschikbaar.,Hochwertige KI-Sprachausgabe wird spaeter verfuegbar sein.,La sintesis de voz IA de alta calidad llegara en una futura actualizacion.,,,,,,
settings.allowFallbackAiSearch,Allow fallback AI search when live web search is unavailable,Autoriser la recherche IA de secours si la recherche web live est indisponible,,,,,,,,,
settings.apiSettingsButton,API Settings,API Settings,,,,,,,,,
settings.apiSettingsWidget,API Settings Widget,Widget API Settings,,,,,,,,,
settings.apiSettingsWidgetHint,Opens at 430 x 600 so Settings keeps only the linked model summary.,S'ouvre en 430 x 600 pour garder ici seulement le résumé des modèles liés.,,,,,,,,,
settings.autoDetectBrowser,Auto-detect from browser,Détecter depuis le navigateur,Automatisch uit browser,Automatisch vom Browser erkennen,Detectar desde el navegador,,,,,,
settings.browserDraftPackage,Browser Draft Package,Package brouillons navigateur,,,,,,,,,
settings.browserDraftPackageHint,"Packages {topics} browser draft(s) and {media} media reference(s) for admin review, GitHub data commits, or a future import flow.","Regroupe {topics} brouillon(s) navigateur et {media} reference(s) media pour revue admin, commits GitHub ou futur import.",,,,,,,,,
settings.browserVoice,Browser Voice,Voix du navigateur,Browserstem,Browserstimme,Voz del navegador,,,,,,
settings.catalogStarted,Translation catalog started. Larger app text still falls back to English while we migrate it.,Catalogue de traduction commence. Le reste de l app revient en anglais pendant la migration.,Vertaalcatalogus gestart. Grotere app-tekst valt tijdelijk terug op Engels.,Uebersetzungskatalog gestartet. Weitere App-Texte fallen vorerst auf Englisch zurueck.,Catalogo de traduccion iniciado. El resto de la app vuelve al ingles durante la migracion.,,,,,,
settings.detected,Detected,Détectée,Gedetecteerd,Erkannt,Detectado,,,,,,
settings.downloadAdminPackage,Download Admin Package,Télécharger le package admin,,,,,,,,,
settings.enableTts,Enable text-to-speech,Activer la lecture vocale,Voorlezen inschakelen,Sprachausgabe aktivieren,Activar texto a voz,,,,,,
